FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;AGE;Età;MARITAL_STATUS;Stato civile;TIME_PERIOD;Osservazione;OBS_STATUS;stato_osservazione
A;Annuale;4014;Bastia Mondovì;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;629;;
A;Annuale;4014;Bastia Mondovì;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;628;e;Dato stimato
A;Annuale;4015;Battifollo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;216;;
A;Annuale;4015;Battifollo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;221;;
A;Annuale;4015;Battifollo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;209;;
A;Annuale;4015;Battifollo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;211;;
A;Annuale;4015;Battifollo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;228;;
A;Annuale;4015;Battifollo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;215;;
A;Annuale;4015;Battifollo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;237;;
A;Annuale;4015;Battifollo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;256;e;Dato stimato
A;Annuale;4016;Beinette;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;3466;;
A;Annuale;4016;Beinette;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;3477;;
A;Annuale;4016;Beinette;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;3426;;
A;Annuale;4016;Beinette;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;3441;;
A;Annuale;4016;Beinette;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;3490;;
A;Annuale;4016;Beinette;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;3498;;
A;Annuale;4016;Beinette;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;3510;;
A;Annuale;4016;Beinette;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;3540;e;Dato stimato
A;Annuale;4017;Bellino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;106;;
A;Annuale;4017;Bellino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;102;;
A;Annuale;4017;Bellino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;97;;
A;Annuale;4017;Bellino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;95;;
A;Annuale;4017;Bellino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;100;;
A;Annuale;4017;Bellino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;96;;
A;Annuale;4017;Bellino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;99;;
A;Annuale;4017;Bellino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;99;e;Dato stimato
A;Annuale;4018;Belvedere Langhe;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;366;;
A;Annuale;4018;Belvedere Langhe;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;351;;
A;Annuale;4018;Belvedere Langhe;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;338;;
A;Annuale;4018;Belvedere Langhe;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;337;;
A;Annuale;4018;Belvedere Langhe;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;330;;
A;Annuale;4018;Belvedere Langhe;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;346;;
A;Annuale;4018;Belvedere Langhe;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;337;;
A;Annuale;4018;Belvedere Langhe;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;333;e;Dato stimato
A;Annuale;4019;Bene Vagienna;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;3687;;
A;Annuale;4019;Bene Vagienna;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;3678;;
A;Annuale;4019;Bene Vagienna;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;3634;;
A;Annuale;4019;Bene Vagienna;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;3643;;
A;Annuale;4019;Bene Vagienna;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;3650;;
A;Annuale;4019;Bene Vagienna;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;3657;;
A;Annuale;4019;Bene Vagienna;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;3663;;
A;Annuale;4019;Bene Vagienna;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;3645;e;Dato stimato
A;Annuale;4020;Benevello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;475;;
A;Annuale;4020;Benevello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;482;;
